CONTRIBUTION_ID,PERIOD_START,PERIOD_END,CONTRIBUTION_DATE,RECIPIENT,AMOUNT,LOBBYIST_ID,LOBBYIST_FIRST_NAME,LOBBYIST_LAST_NAME,CREATED_DATE
1938751253,01/01/2012,06/30/2012,06/13/2012,FRIENDS OF WILL BURNS,300.00,3824,DANIEL,SHOMON,08/22/2012
3390676347,04/01/2019,06/30/2019,06/24/2019,CITIZENS FOR REILLY,1500.00,17962,DAVID,RUTTENBERG,07/08/2019
2258282216,01/01/2015,03/31/2015,02/04/2015,FRIENDS FOR DEBRA SILVERSTEIN,1000.00,4319,LAWRENCE,SUFFREDIN,09/30/2015
375028389,04/01/2017,06/30/2017,06/15/2017,24TH WARD DEMOCRATIC ORGANIZATION,500.00,3740,MICHAEL,KASPER,12/08/2017
2198251664,07/01/2012,09/30/2012,10/01/2012,FRIENDS OF NICHOLAS SPOSATO,100.00,4456,JEFF,RILEY,10/30/2012
3875081430,01/01/2015,03/31/2015,02/27/2015,KURT SUMMERS,250.00,4339,AMY,BRENNAN,04/17/2015
3055090423,01/01/2015,03/31/2015,03/24/2015,MICHAEL SCOTT,1000.00,3743,MARCUS,NUNES,09/03/2015
278025706,07/01/2018,09/30/2018,09/13/2018,NEIGHBORS FOR HARRY OSTERMAN,500.00,3894,JERRY,MICKELSON,10/10/2018
3513465609,10/01/2013,12/31/2013,12/17/2013,ALDERMAN DEBRA SILVERSTEIN,500.00,3930,DAVID,DRING,01/07/2014
2045210243,10/01/2016,12/31/2016,12/02/2016,FRIENDS OF ED BURKE,150.00,4161,JEANETTE,SUBLETT,01/19/2017
60129565,10/01/2012,12/31/2012,12/12/2012,FRIENDS OF JOHN POPE,1500.00,6181,YAFAWN,SMITH,01/23/2013
2266011022,10/01/2013,12/31/2013,11/21/2013,FRIENDS OF GEORGE CARDENAS,250.00,4107,JORGE,PEREZ,01/28/2014
3684087249,04/01/2018,06/30/2018,06/29/2018,"CITIZENS FOR WAGUESPACK (VIA NEAL & LEROY, LLC)",500.00,3753,LANGDON,NEAL,01/17/2019
1006978687,07/01/2016,09/30/2016,07/07/2016,HOPKINS FOR CHICAGO,500.00,3735,MARK,FARY,10/12/2016
37431667,01/01/2018,03/31/2018,03/23/2018,RODERICK SAWYER,1500.00,3985,PAUL,ROSENFELD,07/19/2018
4016136168,04/01/2016,06/30/2016,06/22/2016,CITIZENS FOR JOE MOORE,300.00,3739,COURTNEY,NOTTAGE,11/02/2016
849137611,01/01/2016,03/31/2016,02/09/2016,12TH WARD REGULAR DEMOCRATIC ORGANIZATION,250.00,4107,JORGE,PEREZ,04/18/2016
763291764,10/01/2018,12/31/2018,12/20/2018,CITIZENS FOR MARTY QUINN,500.00,22221,LUIS,ANDRADE,01/17/2019
3589059252,07/01/2013,09/30/2013,07/02/2013,SENATOR DICK DURBIN,1000.00,4161,JEANETTE,SUBLETT,10/03/2013
4237056166,04/01/2019,06/30/2019,06/18/2019,19TH WARD DEMOCRATIC ORGANIZATION,1000.00,18461,JOHN,D'ALESSANDRO,09/10/2019
1270291917,01/01/2018,03/31/2018,03/21/2018,GILBERT VILLEGAS,1000.00,20581,ANTHONY,REINHART,04/10/2018
3257268122,01/01/2016,03/31/2016,03/23/2016,TONI FOULKES,150.00,3955,LEWIS,POWELL,04/19/2016
185779145,04/01/2018,06/30/2018,04/20/2018,25TH WARD REGULAR DEMOCRATIC ORGANIZATION,1000.00,9621,MICHAEL,EZGUR,10/12/2018
2711196920,01/01/2017,03/31/2017,03/28/2017,HOPKINS FOR CHICAGO,1500.00,5964,JEFFREY,GLASS,11/02/2017
2601185119,04/01/2015,06/30/2015,06/17/2015,CITIZENS FOR ERVIN,1000.00,3845,ROLANDO,ACOSTA,07/21/2015
1675936950,04/01/2016,06/30/2016,05/05/2016,FRIENDS OF MARGARET LAURINO,500.00,4155,THOMAS,MURPHY,07/20/2016
946351063,01/01/2019,03/31/2019,01/22/2019,CITIZENS FOR PATRICK O'CONNOR,500.00,18461,JOHN,D'ALESSANDRO,09/10/2019
293894636,01/01/2017,03/31/2017,03/29/2017,FRIENDS OF SOPHIA KING,300.00,3740,MICHAEL,KASPER,12/08/2017
3024770876,10/01/2012,12/31/2012,12/10/2012,DEBRA SILVERSTEIN,250.00,3930,DAVID,DRING,01/14/2013
1057254741,04/01/2017,06/30/2017,05/29/2017,"CITIZENS FOR MICHAEL SCOTT, JR.",250.00,8162,GERY,CHICO,01/16/2018
1298745866,04/01/2016,06/30/2016,05/23/2016,HOPKINS FOR CHICAGO,1500.00,4254,ARNOLD,HARRIS,07/12/2016
1306744427,01/01/2018,03/31/2018,01/16/2018,FRIENDS OF TALIAFERO,500.00,3836,JOHN,DOERRER,07/02/2018
3237088080,07/01/2013,09/30/2013,09/18/2013,CITIZENS FOR JOE MOORE,1000.00,3894,JERRY,MICKELSON,10/01/2013
3143288868,01/01/2014,03/31/2014,03/11/2014,FRIENDS OF LESLIE HAIRSTON,400.00,5701,PAUL,WILLIAMS,01/06/2015
2373616087,04/01/2018,06/30/2018,05/31/2018,FRIENDS FOR MICHELE SMITH,250.00,4246,JOSEPH,GATTUSO,01/14/2019
3420430141,04/01/2017,06/30/2017,04/25/2017,CITIZENS FOR LAURINO,1500.00,4074,TERRY,TEELE,10/26/2017
853435807,10/01/2017,12/31/2017,10/09/2017,23RD WARD DEMOCRATS,500.00,3836,JOHN,DOERRER,01/04/2018
329370528,07/01/2014,09/30/2014,09/30/2014,CITIZENS FOR DEBORAH L. GRAHAM,1500.00,9441,JASON,LUNDERMAN,10/20/2014
3403621384,01/01/2019,03/31/2019,02/01/2019,TONI FOR CHICAGO,750.00,3836,JOHN,DOERRER,04/01/2019
232871136,04/01/2015,06/30/2015,06/22/2015,CITIZENS FOR JASON ERVIN,250.00,4161,JEANETTE,SUBLETT,07/06/2015
1546393295,01/01/2019,03/31/2019,01/28/2019,CITIZENS TO ELECT MICHELLE HARRIS,150.00,4155,THOMAS,MURPHY,04/22/2019
2470137077,01/01/2014,03/31/2014,01/15/2014,FRIENDS OF LESLIE HAIRSTON,350.00,6342,PAUL,BENNETT,04/03/2014
400485301,04/01/2018,06/30/2018,06/13/2018,FRIENDS OF MICHAEL NEGRON,1000.00,8162,GERY,CHICO,08/30/2018
2272004998,01/01/2019,03/31/2019,01/24/2019,SUSANNA MENDOZA,500.00,10821,JAMES,WATSON,04/01/2019
3795492766,01/01/2016,03/31/2016,04/04/2016,ANTHONY GUEST,0.00,3750,ANTHONY,GUEST,04/25/2016
2788058223,10/01/2012,12/31/2012,10/16/2012,NEIGHBORS FOR REY COLON,150.00,4115,ELIZABETH,LIVELY,01/14/2013
498182256,04/01/2014,06/30/2014,05/02/2014,40TH WARD HOLE SPONSOR/ ALD. O'CONNOR,100.00,4064,WILLIAM,FILAN,07/08/2014
