ID,Label,Count of Contributions
FRIENDS OF RODERICK T SAWYER (ALD)  (RECEPTION SPONSOR),FRIENDS OF RODERICK T SAWYER (ALD)  (RECEPTION SPONSOR),1
FRINENDS OF WALTER BURNETT,FRINENDS OF WALTER BURNETT,1
GEORGE CARDENAS,GEORGE CARDENAS,3
ACT BLUE - JOE MOORE,ACT BLUE - JOE MOORE,1
ALDERMAN EDWARD M. BURKE,ALDERMAN EDWARD M. BURKE,3
ALD BRENDAN REILLY,ALD BRENDAN REILLY,1
COMMITTEE TO ELECT HOWARD B. BROOKINS,COMMITTEE TO ELECT HOWARD B. BROOKINS,1
PATRICK DALEY THOMPSON CAMPAIGN,PATRICK DALEY THOMPSON CAMPAIGN,1
RODRICK SAWYER,RODRICK SAWYER,2
MICHELLE SMITH,MICHELLE SMITH,3
THE BURNHAM COMMITTEE ALDERMAN ED BURKE,THE BURNHAM COMMITTEE ALDERMAN ED BURKE,3
CITIZENS FOR HOWARD BROOKINS JR.,CITIZENS FOR HOWARD BROOKINS JR.,1
PATRICK DALEY THOMPSON CAMPAIGN COMMITTEE,PATRICK DALEY THOMPSON CAMPAIGN COMMITTEE,3
FRIENDS OF ROD SAWYER,FRIENDS OF ROD SAWYER,3
ALDERMAN GEORGE A. CARDENAS,ALDERMAN GEORGE A. CARDENAS,2
"JASON ERVIN - NEAL & LEROY, LLC","JASON ERVIN - NEAL & LEROY, LLC",1
CITIZENS FOR ARIEL E. REBOYRAS,CITIZENS FOR ARIEL E. REBOYRAS,1
ALDERMAN ED BURKE,ALDERMAN ED BURKE,6
CITIZENS FOR MARTY QUINN,CITIZENS FOR MARTY QUINN,3
ALD. WALTER BURNETT,ALD. WALTER BURNETT,1
ALDERMAN HOPKINS,ALDERMAN HOPKINS,3
FRIENDS OF NICK SPOSATO,FRIENDS OF NICK SPOSATO,2
FRIENDS EDWARD BURKE,FRIENDS EDWARD BURKE,1
CITIIZENS FOR ERVIN,CITIIZENS FOR ERVIN,1
SCOTT FOR ALDERMAN,SCOTT FOR ALDERMAN,1
FRIEND FOR MICHAEL SCOTT JR,FRIEND FOR MICHAEL SCOTT JR,1
CITIZENS FOR SAWYER,CITIZENS FOR SAWYER,1
CLUB 42 -- ALDERMAN BRENDAN REILLY,CLUB 42 -- ALDERMAN BRENDAN REILLY,1
ALDERMAN NICHOLAS SPOSATO,ALDERMAN NICHOLAS SPOSATO,2
FRIENDS OF SPOSATO,FRIENDS OF SPOSATO,1
SAMANTHA NUGENT FOR 39TH WARD ALDERMAN,SAMANTHA NUGENT FOR 39TH WARD ALDERMAN,1
CITIZENS FOR MICHELE SMITH,CITIZENS FOR MICHELE SMITH,3
"FRIENDS OF EDWARD M. BURKE (FROM NEAL & LEROY, LLC)","FRIENDS OF EDWARD M. BURKE (FROM NEAL & LEROY, LLC)",1
ALDERMAN JOANNA THOMPSON,ALDERMAN JOANNA THOMPSON,1
TONY BEALE,TONY BEALE,1
ALDERMAN HARRY OSTERMAN,ALDERMAN HARRY OSTERMAN,4
ALDERMAN MATT O'SHEA,ALDERMAN MATT O'SHEA,4
CARRIE M. AUSTIN,CARRIE M. AUSTIN,3
"ALDERMAN, LESLIE HAIRSTON","ALDERMAN, LESLIE HAIRSTON",1
FRIENDS OF BRENDAN REILLY,FRIENDS OF BRENDAN REILLY,1
"COMMITTEE TO ELECT HOWARD BROOKINS, JR.","COMMITTEE TO ELECT HOWARD BROOKINS, JR.",3
ALDERMAN MICHAELLE SMITH,ALDERMAN MICHAELLE SMITH,1
ALDERMAN EMMA MITTS,ALDERMAN EMMA MITTS,5
NEIGHBORS OF HARRY OSTERMAN,NEIGHBORS OF HARRY OSTERMAN,2
CITIZENS FOR PAT MCDOWELL,CITIZENS FOR PAT MCDOWELL,1
PATRICK DALEY THOMPSON,PATRICK DALEY THOMPSON,1
FRIENDS OF DEBRA SILVERSTEIN,FRIENDS OF DEBRA SILVERSTEIN,7
ALD MICHELLE HARRIS,ALD MICHELLE HARRIS,1
FRIENDS OF ALDERMAN BURKE,FRIENDS OF ALDERMAN BURKE,2
FRIENDS OF EDWARD M BURKE,FRIENDS OF EDWARD M BURKE,7
CITIZENS FOR ROBERTO MALDONADO,CITIZENS FOR ROBERTO MALDONADO,1
FRIENDS OF THOMPSON,FRIENDS OF THOMPSON,1
RODERICK SAWYER,RODERICK SAWYER,6
MICHELLE SMITH CONTRIBUTION,MICHELLE SMITH CONTRIBUTION,1
MATTHEW O'SHEA,MATTHEW O'SHEA,1
NEW 37TH WARD DEMOCRATIC ORGANIZATION (ALDERMAN EMMA MITTS),NEW 37TH WARD DEMOCRATIC ORGANIZATION (ALDERMAN EMMA MITTS),1
CITIZENS FOR ALDERMAN TOM TUNNEY,CITIZENS FOR ALDERMAN TOM TUNNEY,1
ALD LESLIE HAIRSTON,ALD LESLIE HAIRSTON,1
FRIENDS OF SCOTT,FRIENDS OF SCOTT,1
ALDERMAN BURKE,ALDERMAN BURKE,1
CITIZENS FOR PATRICK THOMPSON,CITIZENS FOR PATRICK THOMPSON,1
CITIZENS FOR CARDENAS,CITIZENS FOR CARDENAS,3
FRIENDS FOR MICHELLE SMITH,FRIENDS FOR MICHELLE SMITH,2
FRIENDS OF NICOLAS SPOSATO,FRIENDS OF NICOLAS SPOSATO,1
21ST CHICAGO/ALDERMAN HOWARD BROOKINS,21ST CHICAGO/ALDERMAN HOWARD BROOKINS,1
CITIZENS FOR BRENDAN REILLY (ALD.) (RECEPTION SPONSOR),CITIZENS FOR BRENDAN REILLY (ALD.) (RECEPTION SPONSOR),1
